Wall time,Step,Value
1683464313.237507,107980,27.09821319580078
1683464316.2634134,108520,27.059072494506836
1683464317.0104156,108650,27.196941375732422
1683464318.8953736,108980,27.113265991210938
1683464319.5635862,109100,27.229782104492188
1683464320.9199584,109340,27.241355895996094
1683464322.1017983,109550,27.20798110961914
1683464322.7410874,109660,27.186628341674805
1683464324.8295012,110030,26.984407424926758
1683464325.5535648,110160,26.938400268554688
1683464326.8850036,110400,27.043771743774414
1683464328.5834603,110700,27.299930572509766
1683464329.3625722,110840,27.392772674560547
1683464331.1555817,111160,27.50956153869629
1683464332.0541773,111320,27.395587921142578
1683464333.394592,111560,27.330474853515625
1683464334.757945,111800,27.415515899658203
1683464335.7662482,111980,27.540576934814453
1683464338.780187,112520,27.52703857421875
1683464339.2379622,112600,27.22405433654785
1683464341.1528413,112940,26.79348373413086
1683464343.615254,113380,26.76100730895996
1683464345.4702923,113710,26.642669677734375
1683464347.8389564,114130,26.90987205505371
1683464350.1148689,114530,27.144542694091797
1683464353.6254795,115150,27.35240936279297
1683464354.039372,115220,27.541120529174805
1683464355.998134,115560,27.451303482055664
1683464357.4791713,115820,27.577085494995117
1683464359.70422,116210,27.64211082458496
1683464360.3794138,116330,27.65241241455078
1683464363.068222,116810,27.865068435668945
1683464365.9674675,117320,28.264873504638672
1683464366.6346822,117440,28.350114822387695
1683464369.5668411,117950,28.456573486328125
1683464370.4055972,118100,28.737804412841797
1683464372.2107682,118430,29.125104904174805
1683464373.0535138,118580,29.309175491333008
1683464375.1808248,118950,29.634111404418945
1683464375.983676,119090,29.86101531982422
1683464376.6139903,119200,29.8236141204834
1683464378.491967,119530,29.702373504638672
1683464379.5521317,119710,29.805381774902344
1683464382.394529,120210,29.702957153320312
1683464382.918128,120300,29.754091262817383
1683464385.7804723,120800,30.049657821655273
1683464389.3020537,121420,31.0206298828125
1683464390.326313,121600,31.133943557739258
1683464392.2112715,121930,31.104402542114258
1683464395.1414359,122440,31.185932159423828
1683464395.7617745,122550,31.305892944335938
1683464397.1779866,122800,31.645383834838867
1683464399.2693925,123170,31.951318740844727
1683464402.0240245,123650,32.55314254760742
1683464404.8883631,124160,33.62174606323242
1683464407.3437963,124590,33.77029800415039
1683464407.9641361,124700,34.13075637817383
1683464411.6253443,125350,34.37177276611328
1683464414.2064397,125810,35.142642974853516
1683464417.10369,126320,35.393314361572266
1683464418.2825375,126530,35.56562805175781
1683464419.2489522,126700,35.73110580444336
1683464425.1780932,127750,36.042842864990234
1683464429.7299182,128560,36.47391128540039
1683464431.9539695,128950,36.37148666381836
1683464433.0669916,129150,36.53059768676758
1683464433.8548846,129290,36.398399353027344
1683464435.7747505,129630,36.22976303100586
1683464439.242474,130240,36.160736083984375
1683464444.2720213,131120,36.083961486816406
1683464446.15299,131450,35.9659309387207
1683464448.35909,131840,35.66975021362305
1683464450.9661162,132300,35.24779510498047
1683464452.4302003,132560,35.29023742675781
1683464456.6050334,133300,35.56910705566406
1683464460.3968914,133970,35.235774993896484
1683464462.2888305,134300,35.091556549072266
1683464465.4025028,134850,35.90580749511719
1683464466.031819,134960,35.97595977783203
1683464467.0720365,135140,35.50042724609375
1683464468.653806,135420,35.14828872680664
1683464470.1168923,135680,35.41313934326172
1683464471.8273175,135980,35.462066650390625
1683464473.2205908,136230,35.45106887817383
1683464473.842926,136340,35.355384826660156
1683464475.368845,136610,35.56513214111328
1683464481.09453,137630,36.55795669555664
1683464483.3006291,138020,36.694801330566406
1683464486.1270692,138520,38.398101806640625
1683464488.642342,138960,39.234527587890625
1683464491.4069476,139450,39.10742950439453
1683464492.3633888,139620,39.778892517089844
1683464493.0325985,139740,40.11119079589844
1683464495.2935512,140140,40.35281753540039
1683464496.7546432,140390,40.69301986694336
1683464498.2237134,140650,41.13634490966797
